"","x"
"883245",414
"124188",413
"295537",412
"320330",412
"952022",412
"144076",412
"415209",412
"1256569",412
"146062",411
"707956",411
"1492092",411
"357967",410
"972676",410
"754533",410
"1185260",410
"203973",409
"556480",409
"796784",409
"556348",408
"257309",408
"441684",408
"637047",408
"1196637",408
"565750",407
"317299",407
"747832",407
"878778",406
"723425",406
"652893",405
"241567",405
"1363345",405
"606940",405
"233726",404
"512800",404
"545791",403
"729550",403
"1273788",403
"456729",402
"407946",402
"1075674",402
"724326",401
"157058",401
"1041567",401
"624535",401
"1031256",401
"956450",401
"759183",400
"657343",400
"576619",400
"598853",400
"556731",400
"721605",400
"1302630",399
"596282",398
"1459144",398
"260669",398
"540235",398
"584095",397
"634313",397
"610796",397
"820511",396
"705040",396
"1263367",396
"637394",396
"1122954",396
"1137086",396
"857461",396
"359162",395
"519335",395
"577142",395
"712672",394
"647250",394
"556603",394
"173188",394
"219931",393
"935517",393
"783140",392
"150012",392
"244159",392
"630346",391
"928660",391
"308122",391
"406602",391
"891844",391
"682540",390
"668324",390
"868275",390
"162639",390
"1543881",390
"687102",389
"913054",389
"682977",389
"297159",389
"1210217",389
"1397164",388
"624922",388
"648764",387
"83016",386
"1271390",386
"449608",386
"499135",385
"511088",385
"288342",385
"567562",385
"1591440",385
"583466",384
"1072746",384
"1208975",384
"1255356",384
"158114",384
"1196415",384
"1155580",383
"1504395",383
"1295351",382
"1285194",381
"763995",381
"764525",381
"206593",381
"592990",381
"236612",381
"721193",381
"1085594",380
"308146",380
"783715",380
"1071223",380
"560217",379
"1144146",379
"352413",379
"717477",379
"1296424",379
"1242019",378
"79160",378
"221397",378
"762651",378
"1456586",378
"151229",377
"581386",377
"869491",377
"630017",377
"438246",377
"322919",377
"153805",376
"496173",376
"432053",376
"1157324",376
"98902",376
"1137777",376
"215449",375
"800162",375
"212365",375
"540295",375
"711194",375
"1620684",375
"1235364",375
"627894",374
"626037",374
"407006",374
"214252",374
"89845",374
"483714",374
"389098",374
"1060306",374
"714402",374
"1191917",373
"641816",373
"1328311",372
"1462211",372
"918204",372
"567926",372
"140447",371
"178829",371
"1164018",371
"707458",371
"152426",371
"1088734",370
"572548",370
"641631",370
"667251",370
"1356936",370
"1287935",369
"666254",369
"609539",369
"575148",369
"552464",369
"105925",368
"590937",368
"1296039",368
"796356",368
"1639642",368
"176320",368
"869541",368
"375586",368
"1244714",368
"153955",367
"85049",367
"810939",367
"1303443",367
"637264",367
"912890",367
"755932",366
"186179",366
"1180103",366
"627114",366
"845873",365
"345300",365
"365635",365
"1206968",365
"1636792",364
"501680",364
"531983",363
"563283",363
"426409",363
"1247060",363
"1722505",362
"175973",362
